	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	16	71.5921	0	-0.00455473	2.82082	0.0788551	(112.249,17.9801,45.4233)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-0.138317	-1.7971	0	0.939693	0	0.34202	10	Al
62.69	-1.7971	22.8677	0.939693	0	0.34202	9.70755	Al
65.8108	-1.7971	24.0035	0.917115	-0.0218849	0.537518	9.69269	Al
70.6726	-1.91311	26.853	0.907447	0.0634987	0.429012	9.66894	Al
89.5613	-0.591377	35.783	0.907447	0.0634987	0.429012	9.5755	Al
93.0145	-0.349738	37.4156	0.907447	0.0634987	0.429012	9.55829	Al
94.9691	-0.212965	38.3396	0.907447	0.0634987	0.429012	9.54854	Al
95.8192	-0.15348	38.7415	0.907447	0.0634987	0.429012	9.54429	Al
99.8076	0.125613	40.6271	0.907447	0.0634987	0.429012	9.52437	Al
101.543	0.247029	41.4475	0.907447	0.0634987	0.429012	9.51568	Al
103.173	0.361099	42.2181	0.907447	0.0634987	0.429012	9.50752	Al
103.392	0.376447	42.3218	0.684783	0.651735	0.303901	9.50642	Al
143.196	38.2589	59.9862	0.684783	0.651735	0.303901	9.2421	Al
157.455	51.8305	66.3146	0.665097	0.747777	0.170643	9.14533	Al
161.743	56.6513	67.4147	0.665097	0.747777	0.170643	9.11513	Al
175.118	71.6883	70.8461	0.665097	0.747777	0.170643	9.0207	Al
178.025	74.9574	71.5921	0.665097	0.747777	0.170643	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	1

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	23	70.4448	0	-0.00458122	3.55481	0.0876557	(108.868,43.0007,43.5946)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-1.222	-0.340918	0	0.939693	0	0.34202	10	Al
26.3574	-0.340918	10.0381	0.939693	0	0.34202	9.87162	Al
35.6594	-0.340918	13.4237	0.92671	0.124492	0.234604	9.82789	Al
53.5854	2.06723	17.9618	0.879078	0.28489	0.303797	9.74215	Al
68.3918	6.86567	23.0787	0.879078	0.28489	0.303797	9.66698	Al
86.519	12.7403	29.3432	0.879078	0.28489	0.303797	9.5744	Al
100.855	17.3863	34.2976	0.604048	0.738735	0.221497	9.50065	Al
102.571	19.4851	34.9269	0.604048	0.738735	0.221497	9.48772	Al
107.807	25.8884	36.8468	0.475789	0.762511	0.335475	9.44824	Al
108.871	27.5925	37.5966	0.475789	0.762511	0.335475	9.43803	Al
110.021	29.4363	38.4078	0.475789	0.762511	0.335475	9.42698	Al
110.095	29.5548	38.4599	0.475789	0.762511	0.335475	9.42626	Al
115.848	38.7754	42.5166	0.475789	0.762511	0.335475	9.37092	Al
120.722	46.5857	45.9529	0.335218	0.824708	0.35451	9.32382	Al
121.262	47.9144	46.524	0.433412	0.736293	0.421081	9.31638	Al
124.903	54.1008	50.0619	0.433412	0.736293	0.421081	9.27758	Al
125.215	54.6309	50.3651	0.433412	0.736293	0.421081	9.27424	Al
131.788	65.7962	56.7505	0.433412	0.736293	0.421081	9.20397	Al
132.469	66.9527	57.4119	0.433412	0.736293	0.421081	9.19664	Al
132.496	66.9999	57.4389	0.433412	0.736293	0.421081	9.19634	Al
145.883	89.7418	70.4448	0.260595	0.937939	-0.0264808	9.05227	Al
