The dielectric-response function of metallic aluminum

Curve 1
Photon energy (eV)	ε(ω) and ε-1(ω)	

0.01044	0.001696	
0.01261	0.002371	
0.01538	0.003370	
0.01861	0.005084	
0.02199	0.006633	
0.02537	0.008447	
0.02998	0.01102	
0.03477	0.01470	
0.04209	0.01873	
0.04856	0.02444	
0.05878	0.03040	
0.06946	0.03872	
0.09031	0.05055	
0.1147	0.06597	
0.1421	0.08822	
0.1804	0.1097	
0.2346	0.1616	
0.2839	0.2059	
0.3355	0.2499	
0.3872	0.3184	
0.4799	0.4156	
0.5808	0.5045	
0.6702	0.6427	
0.8308	0.9242	
0.9361	1.362	
1.055	1.821	
1.133	2.816	
1.217	4.250	
1.277	5.965	
1.307	8.788	
1.582	8.172	
1.826	6.111	
2.263	7.240	
2.675	9.224	
3.086	12.34	
3.736	17.31	
4.630	24.30	
5.878	34.11	
6.623	47.88	
7.827	74.04	
8.210	101.4	
9.250	135.6	
9.473	190.4	
10.18	260.8	
11.47	455.3	
11.74	639.0	
12.61	854.5	
12.92	1229	
13.23	1683	
13.88	2732	
14.56	5383	
14.91	12260	
15.64	3654	
16.40	1900	
16.80	964.5	
18.04	477.9	
21.32	181.4	
24.02	89.86	
27.72	51.49	
31.99	30.22	
37.80	18.17	
43.62	13.26	
51.55	9.004	
58.09	6.733	
70.87	25.88	
72.57	15.21	
73.74	4.570	
75.52	7.977	
76.12	40.00	
81.76	54.77	
87.82	95.52	
101.3	58.89	
138.1	48.54	
167.1	35.44	
207.1	21.33	
238.9	13.80	
269.1	9.152	
303.2	5.643	
366.8	2.937	
423.2	1.529	
500.1	0.7770	
563.3	0.4245	
665.6	0.2617	
749.8	0.1501	
865.0	0.07813	
1022	0.04373	
1208	0.02389	
1360	0.01509	
1427	0.09253	
1461	0.1430	
1496	0.03518	
1569	0.02117	
1607	0.008048	
1811	0.06923	
2040	0.04480	
2353	0.02830	
2986	0.01305	
3445	0.007485	
4071	0.004397	
4697	0.002289	
5418	0.001345	
6703	0.0007297	
7735	0.0004080	
8715	0.0002395	


Handbook of Optical Constants of Solids
Copyright © 1998 Elsevier
