[0. 0. 0.]
[  0.         -15.07112481  12.64617527]
[  15.3525696  -212.34371716  189.06546012]
[  16.46119812 -242.14689645  217.67880505]
[  18.59848869 -308.15736087  282.98799024]
[  22.93577462 -337.11819198  312.87452629]
[  39.79846404 -446.05530482  435.76512514]
[  46.62559113 -484.59313575  480.18252441]
[  47.72836268 -492.71479899  490.17097473]
[  26.73748283 -647.30788605  300.04423292]
[  11.65059058 -677.84531231  242.39669701]
[  36.26116666 -727.6596571   336.43455752]
[  50.44737976 -759.37266633  397.59117253]
[  40.41231635 -781.8058595   354.33012002]
[  19.41057065 -812.39404132  269.03581364]
[  24.92479329 -820.42528058  291.43070412]
[  44.31448334 -851.66766332  379.73057238]
[  36.44986718 -864.33982814  343.91542685]
[  33.22242379 -867.40984709  332.30468114]
[  44.75700645 -878.38180945  373.80040705]
[ 102.91298762 -913.6160588   571.17508511]
[ 116.52484652 -918.22813822  600.88786746]
[  92.85999403 -926.24645373  549.2308075 ]
[  76.2168669  -930.42635035  509.95706085]
[ 104.53981178 -937.53961583  576.79234686]
[  20.98574892 -958.52409443  379.62500737]
[-203.14422802 -985.71227633    6.63568433]
[ -388.03090882 -1000.73567498  -338.60803365]
[0. 0. 0.]
[  0.         -72.18168962  60.56762913]
[   2.65435676 -156.81068674  132.53474477]
[   2.49107403 -162.71313554  138.01479393]
[   3.23322441 -189.5408641   113.10695036]
[   1.71788464 -263.1751984    25.64886738]
[   4.49231174 -397.99188865  185.77538167]
[ -17.50016128 -488.1309688   358.74682715]
[ -13.89077076 -502.92453665  330.35886477]
[  13.6512525  -621.74627745   92.12472371]
[  13.07056543 -624.25147642   97.14757492]
[   6.57767173 -668.10738453  193.54646626]
[ -25.76587416 -798.97079418  571.97567437]
[ -29.25359749 -838.98109823  708.04427793]
[ -29.64820939 -869.31109065  836.69868963]
[ -29.64672734 -869.4250012   836.21550143]
[ -29.69954082 -869.93826433  833.53093022]
[ -31.31027665 -874.81531169  784.8499545 ]
[ -46.41534189 -893.87185443  482.92958291]
[ -51.63325519 -897.10490321  368.03751487]
[ -53.20297989 -897.44750742  353.80028238]
[ -63.35549126 -898.28284697  266.47772602]
[ -56.51163337 -898.84595347  325.34229108]
[ -39.51790907 -898.33679911  500.11391515]
[ -30.45946347 -896.65547098  564.81718561]
[ -37.55680843 -895.33814059  514.12179583]
[ -37.83430212 -790.93760608  113.23415846]
[ -60.01095486 -707.27195591 -174.92996227]
[0. 0. 0.]
[  0.         -18.23996179  15.30514521]
[  3.36424309 -82.58803743  72.96229627]
[  -2.9152856  -202.69695244  -34.65767196]
[0. 0. 0.]
[   0.         -514.64555465  431.83889509]
